Today's date is,01/04/17 15:10:36
Company,Current Price,52 Week Low,Percent of 52 Week Low
"Abbott Laboratories (ABT)",39.3,36.0,9.17
"We are experiencing some temporary issues. The market data on this page are currently delayed. Please bear with us as we address this and restore your personalized lists.",172.93,158.3,9.24
"Bed Bath & Beyond Inc. (BBBY)",42.14,38.6,9.17
"Brown-Forman Corporation (BF-B)",45.56,43.82,3.97
"We are experiencing some temporary issues. The market data on this page are currently delayed. Please bear with us as we address this and restore your personalized lists.",155.93,142.6,9.35
"We are experiencing some temporary issues. The market data on this page are currently delayed. Please bear with us as we address this and restore your personalized lists.",47.88,47.01,1.85
"Chipotle Mexican Grill, Inc. (CMG)",381.78,352.9,8.18
"The Clorox Company (CLX)",121.88,111.2,9.6
"The Coca-Cola Company (KO)",41.64,39.88,4.41
"Colgate-Palmolive Company (CL)",66.25,61.4,7.9
"Coty Inc. (COTY)",18.99,17.94,5.85
"Dollar Tree, Inc. (DLTR)",79.45,72.52,9.56
"The Estée Lauder Companies Inc. (EL)",78.68,75.3,4.49
"Federal Realty Investment Trust (FRT)",144.21,134.3,7.38
"We are experiencing some temporary issues. The market data on this page are currently delayed. Please bear with us as we address this and restore your personalized lists.",30.99,29.33,5.66
"General Growth Properties, Inc (GGP)",25.97,23.89,8.71
"Gilead Sciences Inc. (GILD)",76.38,70.83,7.84
"Hanesbrands Inc. (HBI)",22.61,21.4,5.65
"Hormel Foods Corporation (HRL)",35.87,33.18,8.11
"The J. M. Smucker Company (SJM)",128.52,117.3,9.57
"We are experiencing some temporary issues. The market data on this page are currently delayed. Please bear with us as we address this and restore your personalized lists.",73.22,68.73,6.53
"Kimberly-Clark Corporation (KMB)",115.18,111.3,3.49
"We are experiencing some temporary issues. The market data on this page are currently delayed. Please bear with us as we address this and restore your personalized lists.",25.88,24.35,6.28
"The Macerich Company (MAC)",71.85,66.0,8.86
"Mallinckrodt Public Limited Company (MNK)",53.19,48.61,9.42
"McDonald's Corporation (MCD)",119.49,110.3,8.33
"Mead Johnson Nutrition Company (MJN)",71.77,65.53,9.52
"Medtronic plc (MDT)",71.27,69.35,2.77
"Nielsen Holdings plc (NLSN)",42.49,41.0,3.63
"NIKE, Inc. (NKE)",53.08,49.01,8.3
"Perrigo Company plc (PRGO)",87.24,79.72,9.43
"Philip Morris International Inc. (PM)",90.4,84.46,7.03
"PPL Corporation (PPL)",34.1,32.08,6.3
"Simon Property Group, Inc. (SPG)",183.96,173.1,6.27
"The Southern Company (SO)",48.98,46.0,6.48
"Stericycle, Inc. (SRCL)",77.84,71.52,8.84
"TripAdvisor, Inc. (TRIP)",48.86,45.63,7.08
"Under Armour, Inc. (UAA)",30.59,29.0,5.48
"Universal Health Services, Inc. (UHS)",108.84,99.72,9.15
"V.F. Corporation (VFC)",53.72,51.76,3.79
"Vertex Pharmaceuticals Incorporated (VRTX)",77.05,71.46,7.82
