Today's date is,01/08/17 23:20:22
Company,Current Price,52 Week Low,Percent of 52 Week Low
"Bed Bath & Beyond Inc. (BBBY)",40.61,38.6,5.21
"Brown-Forman Corporation (BF-B)",45.06,43.82,2.83
"Henry Schein, Inc. (HSIC)",156.18,142.6,9.52
"Cerner Corporation (CERN)",47.55,47.01,1.15
"The Coca-Cola Company (KO)",41.74,39.88,4.66
"Colgate-Palmolive Company (CL)",67.36,61.4,9.71
"Coty Inc. (COTY)",19.08,17.94,6.35
"DENTSPLY SIRONA Inc. (XRAY)",58.29,53.43,9.1
"Dollar Tree, Inc. (DLTR)",77.09,72.52,6.3
"The Estée Lauder Companies Inc. (EL)",79.16,75.3,5.13
"Express Scripts Holding Company (ESRX)",70.75,64.46,9.76
"Federal Realty Investment Trust (FRT)",144.49,134.3,7.59
"FirstEnergy Corp. (FE)",31.13,29.33,6.14
"General Growth Properties, Inc (GGP)",26.0,23.89,8.83
"Gilead Sciences Inc. (GILD)",75.49,70.83,6.58
"Hanesbrands Inc. (HBI)",22.46,21.4,4.95
"Hormel Foods Corporation (HRL)",36.34,33.18,9.52
"Kellogg Company (K)",73.13,68.73,6.4
"Kimberly-Clark Corporation (KMB)",116.43,111.3,4.61
"Kimco Realty Corporation (KIM)",25.88,24.35,6.28
"L Brands, Inc. (LB)",61.23,60.0,2.05
"Macy's, Inc. (M)",30.82,29.94,2.94
"Mallinckrodt Public Limited Company (MNK)",52.75,48.61,8.52
"McDonald's Corporation (MCD)",120.76,110.3,9.48
"Mead Johnson Nutrition Company (MJN)",71.6,65.53,9.26
"Medtronic plc (MDT)",72.87,69.35,5.08
"Nielsen Holdings plc (NLSN)",42.51,41.0,3.68
"NIKE, Inc. (NKE)",53.91,49.01,10.0
"Perrigo Company plc (PRGO)",85.25,79.72,6.94
"Philip Morris International Inc. (PM)",91.84,84.46,8.74
"Ralph Lauren Corporation (RL)",88.58,82.15,7.83
"PPG Industries, Inc. (PPG)",95.59,88.37,8.17
"PPL Corporation (PPL)",34.56,32.08,7.73
"Simon Property Group, Inc. (SPG)",186.83,173.1,7.93
"The Southern Company (SO)",49.01,46.0,6.54
"Target Corporation (TGT)",71.44,65.5,9.07
"Under Armour, Inc. (UAA)",30.47,29.0,5.07
"Universal Health Services, Inc. (UHS)",108.51,99.72,8.81
"V.F. Corporation (VFC)",53.18,51.76,2.74
"Xerox Corporation (XRX)",7.01,6.46,8.51
